#seqid	description	orientation	amoa log odds	pmoa log odds	bg log odds	label
ECAR0052	 noise	-	 -931.2722	 -623.4840	 -506.6252	bg
ECAR0050	 noise	+	 -202.8069	 -155.9716	 -135.8703	bg
ISBA57	 noise	-	-1362.8880	 -938.4934	 -801.2958	bg
K1AB0029	 noise	+	-1509.1721	-1057.0835	 -836.5014	bg
ESAQ0081	 noise	+	-1750.7626	-1106.1453	 -906.0422	bg
ISBA52	 noise	-	-1195.4921	 -770.9230	 -619.9636	bg
ISBA50	 noise	-	-1408.8621	 -885.7792	 -782.7029	bg
ESAH0087	 noise	+	 -318.5278	 -216.2570	 -168.7768	bg
ESAH0086	 noise	-	 -323.7040	 -219.6471	 -184.9614	bg
ESAH0085	 noise	-	 -607.2457	 -461.9431	 -370.4148	bg
ESAH0084	 noise	+	 -818.8661	 -558.7979	 -436.7485	bg
ESAH0083	 noise	+	 -857.7039	 -602.3889	 -476.0004	bg
ECAT0033	 noise	-	 -150.6680	 -101.3225	  -90.7644	bg
ESAH0081	 noise	-	-1300.7956	 -916.3583	 -765.0275	bg
ESAH0080	 noise	-	 -185.8793	 -142.0483	 -130.0068	bg
ESAH0089	 noise	+	-1462.7208	 -978.5532	 -788.2584	bg
ECAT0022	 noise	-	-1372.6014	 -931.0193	 -788.6574	bg
ISAZ83	 noise	+	-1387.8997	 -897.2347	 -745.6505	bg
ISAZ82	 noise	-	-1332.7088	 -914.2382	 -788.6830	bg
ISAZ81	 noise	-	-1253.3490	 -871.2899	 -751.0874	bg
ISAZ80	 noise	-	-1422.2556	 -913.8685	 -793.7117	bg
ISAZ88	 noise	-	-1167.8042	 -795.9701	 -659.7648	bg
ESAJ0023	 noise	-	-1381.7357	 -857.2626	 -676.5787	bg
ESAV0059	 noise	-	-1512.1362	-1004.7359	 -792.5626	bg
ESAH0018	 noise	+	-1663.3931	-1181.6529	 -979.4894	bg
ESAV0053	 noise	+	-1600.8651	-1037.2703	 -864.3365	bg
ESAH0017	 noise	+	-1059.2709	 -745.5531	 -606.6114	bg
ESAV0056	 noise	+	-1171.7016	 -803.1719	 -660.2536	bg
ESAH0011	 noise	+	-1870.8856	-1323.4225	-1123.4297	bg
ESAV0054	 noise	+	-1298.1949	 -866.2466	 -726.9375	bg
ESAH0013	 noise	+	-1043.6208	 -726.3188	 -597.7214	bg
KDAE0006	 noise	-	-1400.4456	 -922.3834	 -774.5088	bg
KDAE0005	 noise	-	-1232.6164	 -810.9072	 -662.1637	bg
KDAE0004	 noise	+	-1167.9759	 -738.8213	 -625.1986	bg
KDAE0003	 noise	+	-1374.4038	 -896.9715	 -760.8263	bg
KDAE0002	 noise	+	-1161.7784	 -786.3491	 -618.8770	bg
ECAR0026	 noise	+	 -768.1352	 -516.7055	 -452.1764	bg
ECAR0025	 noise	+	-1219.3726	 -845.9292	 -673.1128	bg
KDAE0009	 noise	-	-1210.8086	 -818.2420	 -675.2118	bg
KDAE0008	 noise	+	-1251.9906	 -808.3179	 -697.9795	bg
ISAZ4	 noise	-	-1494.6347	 -970.6896	 -836.4653	bg
ISAZ5	 noise	-	-1375.0473	 -961.7084	 -836.9043	bg
ISAZ2	 noise	-	-1296.1366	 -828.7320	 -692.5612	bg
EPAW0041	 noise	+	-1408.6414	 -966.4094	 -795.0590	bg
ISAZ1	 noise	-	-1440.4477	 -907.6865	 -784.6464	bg
EPAH0022	 noise	-	 -190.9518	 -131.2283	 -119.1355	bg
EPAH0023	 noise	-	 -159.2248	  -93.5181	  -99.6072	pmoa
EPAH0020	 noise	-	 -514.9142	 -363.7974	 -314.6415	bg
EPAW0040	 noise	-	-1310.3289	 -965.6756	 -772.8555	bg
ECAT0034	 noise	-	-1563.7719	-1042.1601	 -845.5770	bg
ISAZ8	 noise	-	-1277.3950	 -943.5738	 -792.3749	bg
ECAR0022	 noise	-	 -479.0759	 -310.1399	 -232.2992	bg
RCAY0046	 noise	-	-1404.9288	 -981.7079	 -782.5363	bg
KDAJ0044	 noise	-	-1403.0410	 -915.0015	 -751.4522	bg
ECAT0035	 noise	-	-1549.2391	-1120.1326	 -878.5155	bg
RCAY0043	 noise	-	-1360.5760	 -948.4351	 -831.6932	bg
RCAY0041	 noise	+	-1168.0986	 -806.5415	 -670.7504	bg
EPAU0074	 noise	+	-1525.9257	-1043.4632	 -832.9851	bg
EPAU0075	 noise	+	-1560.6319	-1047.6725	 -840.4437	bg
EPAU0076	 noise	+	-1301.9506	 -883.8756	 -720.0149	bg
EPAU0077	 noise	-	-1286.4991	 -936.6233	 -781.0914	bg
EPAU0070	 noise	+	-1518.7677	-1026.1019	 -814.4680	bg
EPAU0072	 noise	+	-1360.3022	 -908.0922	 -761.9971	bg
EPAU0073	 noise	+	-1492.7466	-1014.2964	 -842.3136	bg
RPAX0016	 noise	+	-1465.3594	 -935.3259	 -784.5318	bg
RPAX0017	 noise	-	-1423.6547	 -985.0176	 -783.1766	bg
RPAX0012	 noise	+	-1479.8193	 -962.0847	 -800.4744	bg
RPAX0013	 noise	-	-1528.2484	 -977.3458	 -817.6939	bg
K8AH0080	 noise	-	-1689.7852	-1077.6657	 -879.9717	bg
K8AH0081	 noise	-	-1395.8752	 -909.4711	 -770.0028	bg
ECAT0031	 noise	+	-1479.9335	 -956.6014	 -846.5529	bg
RPAX0019	 noise	+	-1497.8787	 -956.4390	 -797.7598	bg
ESAJ0037	 noise	+	-1269.3033	 -832.0813	 -643.4585	bg
ISAZ72	 noise	-	-1320.3787	 -864.5800	 -753.8308	bg
ISAZ70	 noise	+	-1152.5630	 -805.6799	 -659.2387	bg
EPAW0048	 noise	-	-1266.5788	 -932.6377	 -783.2808	bg
ISAZ77	 noise	-	-1460.2040	 -967.1652	 -831.0114	bg
ISAZ74	 noise	-	-1520.2387	-1064.5575	 -865.7152	bg
ISAZ75	 noise	-	-1486.7180	-1007.7507	 -833.4589	bg
KDAJ0057	 noise	+	-1356.9584	 -937.1280	 -787.8051	bg
ECAM0019	 noise	+	-1142.7688	 -728.9430	 -623.8794	bg
ECAM0018	 noise	-	-1353.1431	 -883.3712	 -732.2039	bg
KDAJ0051	 noise	-	 -103.8692	  -85.7956	  -66.3522	bg
KDAJ0050	 noise	-	-1364.8412	 -853.0939	 -720.2983	bg
ECAM0015	 noise	-	-1259.6342	 -867.2121	 -686.6792	bg
ECAM0014	 noise	-	-1287.8648	 -838.5707	 -687.6688	bg
ECAM0017	 noise	-	-1533.9619	 -927.2011	 -774.9884	bg
ECAM0016	 noise	+	-1271.7576	 -849.6792	 -685.8050	bg
ECAM0010	 noise	-	-1479.4721	 -905.1727	 -783.7385	bg
ECAM0013	 noise	-	-1234.3108	 -845.5716	 -672.6004	bg
KDAJ0058	 noise	+	-1463.0405	 -909.3869	 -776.8960	bg
ESAV0030	 noise	-	-1501.7560	-1012.4318	 -842.7206	bg
ESAJ0030	 noise	+	-1327.9720	 -839.8440	 -649.0421	bg
ECAT0038	 noise	+	-1543.7468	-1016.3567	 -829.0217	bg
EPAH0028	 noise	-	-1304.1012	 -851.1261	 -702.2756	bg
ESAJ0085	 noise	-	 -151.7342	 -115.7042	 -110.5535	bg
ISAZ62	 noise	+	-1374.1014	 -908.3795	 -775.7643	bg
ESAV0015	 noise	-	-1425.5022	 -974.7892	 -837.6840	bg
K7AH0044	 noise	-	-1444.9916	 -950.0866	 -830.0891	bg
ISAZ65	 noise	-	-1528.4662	 -927.0492	 -751.2853	bg
ESAJ0087	 noise	+	 -711.0410	 -490.5310	 -431.7283	bg
ISAZ64	 noise	-	-1580.7125	 -952.6132	 -767.7698	bg
ECAM0080	 noise	-	-1312.7499	 -833.3450	 -660.2032	bg
ECAM0081	 noise	-	-1298.1154	 -868.5470	 -699.2392	bg
ECAM0086	 noise	-	-1259.6101	 -865.1863	 -665.0682	bg
ECAM0087	 noise	-	-1303.0060	 -862.7624	 -662.6356	bg
ECAM0084	 noise	-	 -750.1273	 -476.9846	 -409.1015	bg
ECAM0085	 noise	-	-1286.9677	 -861.6288	 -662.8573	bg
EPAS0083	 noise	+	 -942.6271	 -655.4599	 -551.4068	bg
ECAM0088	 noise	-	-1298.0388	 -886.4140	 -668.8822	bg
ESAJ0080	 noise	-	-1576.9596	-1033.7196	 -872.1018	bg
ISBA88	 noise	-	 -340.6278	 -246.9483	 -227.4398	bg
ESAJ0083	 noise	+	 -121.0362	  -97.3803	  -95.9776	bg
ECAN0036	 noise	+	-1388.6177	 -940.7896	 -768.5214	bg
ISBA80	 noise	+	-1423.7762	 -901.8131	 -714.0820	bg
ESAJ0082	 noise	-	 -135.9657	 -104.3025	  -98.7735	bg
EPAW0021	 noise	-	-1302.6143	 -925.7123	 -781.6065	bg
ECAM0069	 noise	-	-1273.4311	 -836.4917	 -648.3268	bg
EPAW0022	 noise	-	-1261.1753	 -984.2606	 -773.0228	bg
EPAW0024	 noise	-	-1486.4312	 -980.9563	 -790.1231	bg
EPAW0029	 noise	+	-1324.4722	 -909.2894	 -773.7294	bg
ECAM0061	 noise	-	-1460.4907	 -998.4573	 -793.6496	bg
ECAM0062	 noise	-	-1152.7734	 -852.3002	 -661.8483	bg
ECAM0063	 noise	-	-1463.4408	-1010.6172	 -784.5173	bg
EPAO0043	 noise	+	-1418.1994	 -934.8652	 -790.5375	bg
ECAM0065	 noise	+	-1587.5077	 -951.2107	 -790.1034	bg
ESAI0048	 noise	+	-1396.0705	 -939.1360	 -761.2620	bg
ISBA13	 noise	-	-1410.8122	-1004.4384	 -804.1759	bg
ECAR0010	 noise	+	 -912.1268	 -592.1526	 -509.7010	bg
ECAR0011	 noise	-	-1295.2649	 -854.5020	 -708.1546	bg
ECAR0016	 noise	-	-1304.1193	 -821.7876	 -664.4815	bg
K1AH0007	 noise	-	-1552.5265	-1050.0735	 -884.0936	bg
ECAR0014	 noise	+	-1389.2102	 -875.5826	 -731.3988	bg
ECAR0015	 noise	+	-1487.9739	 -950.0341	 -780.2805	bg
ECAR0018	 noise	+	-1150.4051	 -769.1947	 -606.0902	bg
ECAR0019	 noise	-	-1142.4286	 -780.9401	 -694.6753	bg
ESAS0027	 noise	+	-1686.8369	-1073.3871	 -859.6107	bg
K1AA0019	 noise	-	-1532.4544	 -928.8153	 -750.5518	bg
K1AA0018	 noise	+	-1575.2726	-1038.8415	 -828.5387	bg
K1AA0015	 noise	+	-1544.3825	-1036.3088	 -824.9102	bg
ECAM0038	 noise	-	-1224.8715	 -850.6747	 -672.4775	bg
ESAV0020	 noise	+	 -510.0706	 -274.1752	 -229.3741	bg
K1AA0013	 noise	+	-1217.4578	 -865.9825	 -696.4123	bg
ESAH0045	 noise	+	 -961.3471	 -612.3883	 -502.6375	bg
EPAL0033	 noise	-	-1058.3399	 -722.9089	 -610.5453	bg
ISBA9	 noise	+	-1467.9667	 -961.9276	 -779.3944	bg
ISBA1	 noise	+	-1319.1471	 -973.5723	 -804.5879	bg
ESAQ0083	 noise	-	-1698.8816	-1147.9907	 -927.8716	bg
ISBA5	 noise	-	-1376.3138	 -869.9238	 -737.4795	bg
K8AH0069	 noise	-	 -924.3129	 -612.1362	 -509.1501	bg
ISBA7	 noise	-	-1311.3303	 -982.6282	 -808.2057	bg
ESAV0096	 noise	-	-1330.9017	 -903.9505	 -736.1443	bg
ESAJ0041	 noise	+	-2079.7995	-1363.8730	-1074.1363	bg
ESAJ0040	 noise	+	-1384.3226	 -928.9618	 -732.7426	bg
ESAJ0043	 noise	+	-1303.4225	 -848.1713	 -671.2885	bg
ESAJ0042	 noise	+	-1388.4759	 -921.4616	 -724.1406	bg
ESAJ0045	 noise	+	-1313.0983	 -832.7715	 -665.4321	bg
ESAJ0044	 noise	-	-1321.7323	 -925.0919	 -752.0448	bg
ESAJ0047	 noise	+	-1247.2568	 -838.3833	 -691.2794	bg
ESAH0015	 noise	+	 -211.4124	 -130.7922	 -123.6988	bg
ECAR0085	 noise	-	-1346.5640	 -948.2016	 -777.7927	bg
ECAR0084	 noise	-	-1604.5065	-1060.8149	 -857.8901	bg
ECAR0087	 noise	+	-1269.9876	 -802.3273	 -671.3515	bg
ECAR0086	 noise	+	-1622.7329	-1069.0829	 -858.3093	bg
ECAR0080	 noise	-	-1606.0679	-1078.8817	 -877.0807	bg
ECAR0082	 noise	+	-1507.0570	-1056.7440	 -846.0960	bg
ECAK0087	 noise	+	-1373.8712	 -925.5256	 -753.8780	bg
ESAH0010	 noise	-	-1067.0932	 -738.0785	 -602.2963	bg
ESAH0004	 noise	+	-1178.1124	 -746.6236	 -639.4564	bg
ESAV0057	 noise	+	-1576.0509	-1055.4679	 -842.5541	bg
RPAX0050	 noise	-	-1094.7035	 -691.9040	 -562.9221	bg
KDAC0002	 noise	+	-1539.7945	 -982.7254	 -795.5499	bg
RPAX0056	 noise	-	-1473.0117	 -949.5516	 -760.6865	bg
KDAC0007	 noise	+	-1391.8683	-1006.4572	 -832.2417	bg
RPAX0058	 noise	-	-1258.3961	 -916.6613	 -768.1809	bg
RPAX0059	 noise	-	-1342.5411	 -889.5522	 -726.9199	bg
ESAI0022	 noise	-	-1318.0623	 -880.2029	 -713.1717	bg
ECAK0078	 noise	-	-1301.4655	 -931.5138	 -748.1572	bg
ESAH0007	 noise	+	-1386.1914	 -938.7054	 -745.4591	bg
KSAG0019	 noise	+	-1417.1191	 -915.3491	 -760.5385	bg
KSAG0011	 noise	+	-1431.4151	 -980.8079	 -850.1690	bg
KDAJ0092	 noise	-	-1416.8318	 -960.4366	 -768.9579	bg
ESAV0067	 noise	+	-1262.8393	 -843.1861	 -687.8810	bg
ESAH0043	 noise	-	-1065.3092	 -731.8532	 -609.5139	bg
ESAH0042	 noise	+	 -999.2081	 -678.6962	 -548.4654	bg
ESAV0003	 noise	+	-1422.7783	 -940.4710	 -788.9529	bg
ESAV0004	 noise	-	-1319.5199	 -896.6890	 -773.1944	bg
KDAE0078	 noise	+	-1101.4718	 -779.6255	 -636.2055	bg
ESAV0006	 noise	+	-1570.3101	-1183.6732	 -934.6411	bg
KDAE0076	 noise	+	-1421.8999	 -952.9154	 -806.0868	bg
ESAV0008	 noise	+	-1421.2665	 -939.4835	 -719.7740	bg
KDAE0075	 noise	-	-1274.2767	 -912.2428	 -783.1420	bg
KDAE0072	 noise	-	-1567.4362	-1032.3422	 -840.0592	bg
KDAE0071	 noise	-	-1524.5591	 -986.7553	 -804.3010	bg
ISAZ69	 noise	+	-1354.4312	 -901.8998	 -743.8174	bg
KDAA0003	 noise	-	-1411.7028	 -901.6715	 -741.7547	bg
KDAA0002	 noise	-	-1619.0697	-1095.9175	 -886.7591	bg
EPAH0073	 noise	+	-1269.5412	 -904.9131	 -736.7431	bg
KDAA0007	 noise	-	-1301.1219	 -898.7128	 -746.0520	bg
KDAA0005	 noise	-	-1674.8578	-1035.2581	 -816.6674	bg
K7AH0041	 noise	-	-1691.9229	-1117.7165	 -914.2737	bg
RCAY0034	 noise	+	-1599.3996	-1062.2548	 -847.4212	bg
KDAA0008	 noise	-	-1389.2252	 -881.3864	 -728.5583	bg
RCAY0030	 noise	-	-1437.7792	 -967.5205	 -768.8969	bg
RCAY0031	 noise	+	 -593.7305	 -413.4804	 -379.1123	bg
EPAU0023	 noise	-	-1530.8221	-1041.7164	 -826.5012	bg
K1AH0002	 noise	+	-1616.8330	-1045.2500	 -832.4008	bg
K8AH0059	 noise	-	-1266.6445	 -901.1175	 -771.7209	bg
K8AH0058	 noise	+	-1421.8191	 -975.0684	 -800.5452	bg
EPAU0025	 noise	-	-1413.1636	 -951.9573	 -813.5730	bg
EPAU0024	 noise	-	-1318.7368	 -890.8596	 -777.7873	bg
K8AH0055	 noise	+	-1291.8110	 -837.4704	 -723.5529	bg
ECAT0047	 noise	-	-1437.6355	 -974.9276	 -777.4315	bg
K8AH0057	 noise	+	-1542.1531	-1007.4804	 -822.9038	bg
K8AH0056	 noise	-	-1467.4797	 -955.7143	 -801.3887	bg
K8AH0053	 noise	-	-1242.1023	 -776.8005	 -691.5803	bg
K8AH0052	 noise	+	-1446.4045	 -984.8787	 -814.9294	bg
ISAZ25	 noise	-	-1109.8195	 -684.6670	 -610.0470	bg
ISAZ27	 noise	-	-1362.2184	 -927.1525	 -785.0725	bg
ISAZ21	 noise	+	-1389.8111	 -956.2911	 -797.2771	bg
ISAZ20	 noise	-	-1493.9494	 -983.3044	 -775.5430	bg
ISAZ23	 noise	-	-1429.4208	 -945.7456	 -745.2465	bg
ISAZ22	 noise	-	-1370.9161	 -934.6675	 -787.0757	bg
ESAJ0019	 noise	-	-1642.7042	-1198.9318	 -942.8317	bg
ISAZ29	 noise	-	-1531.6654	 -970.9441	 -797.8002	bg
ISAZ28	 noise	+	-1535.6064	-1034.6094	 -843.2436	bg
RCAY0045	 noise	-	-1413.7847	 -927.3636	 -771.3919	bg
K1AA0027	 noise	+	-1520.1139	-1028.7428	 -812.8826	bg
K1AA0021	 noise	+	-1468.1727	 -905.4844	 -757.8890	bg
KDAJ0029	 noise	+	-1454.3303	-1032.2972	 -849.9073	bg
KDAJ0026	 noise	-	-1508.3515	 -989.6211	 -832.5882	bg
K1AD0006	 noise	+	-1558.3837	-1038.8270	 -828.8675	bg
K1AD0005	 noise	-	-1514.3009	-1018.2353	 -785.3325	bg
K1AD0004	 noise	+	-1504.6652	-1041.0868	 -828.9349	bg
K1AD0003	 noise	-	-1608.4540	-1031.8566	 -807.0185	bg
K1AD0002	 noise	+	-1518.7077	-1016.1188	 -811.4274	bg
KDAJ0020	 noise	-	-1210.8538	 -805.0837	 -692.6027	bg
KDAJ0021	 noise	-	-1333.8439	 -842.1343	 -725.6595	bg
ECAM0024	 noise	-	-1507.3986	-1009.5912	 -801.8617	bg
ECAM0025	 noise	+	-1524.2291	 -927.8303	 -772.5056	bg
ECAM0026	 noise	+	-1550.3672	 -947.3804	 -787.5986	bg
ECAM0027	 noise	-	-1524.9770	 -977.8761	 -783.0963	bg
ECAM0020	 noise	-	-1292.4947	 -890.3884	 -726.5789	bg
ECAM0021	 noise	-	-1260.1274	 -837.1610	 -649.9749	bg
ECAM0022	 noise	-	-1254.1411	 -850.2771	 -675.7087	bg
ECAM0023	 noise	-	-1213.4198	 -851.4641	 -674.6902	bg
ESAH0003	 noise	+	-1030.2883	 -790.3746	 -621.8049	bg
ECAM0028	 noise	-	 -903.7892	 -626.4259	 -523.7009	bg
ECAM0029	 noise	-	-1343.5448	 -864.4395	 -671.9024	bg
ESAV0001	 noise	-	-1406.2034	 -971.5773	 -836.3703	bg
ECAM0095	 noise	-	-1199.8308	 -848.5292	 -672.0089	bg
RCAY0035	 noise	+	-1364.5030	 -984.9954	 -833.8865	bg
ECAM0094	 noise	-	-1273.1058	 -872.2726	 -690.8857	bg
ESAS0019	 noise	-	-1437.6943	 -976.8070	 -795.5125	bg
EPAS0069	 noise	+	-1245.0924	 -887.4594	 -707.6077	bg
EPAS0068	 noise	-	-1397.5468	 -941.5441	 -701.9787	bg
K7AH0042	 noise	+	 -748.3685	 -493.4737	 -408.7788	bg
ECAM0096	 noise	-	-1295.0380	 -828.2636	 -650.1247	bg
KDAJ0095	 noise	-	 -576.5605	 -402.7513	 -334.7400	bg
EPAU0096	 noise	+	-1592.4546	-1058.3016	 -843.9124	bg
ESAJ0086	 noise	+	 -134.6436	 -121.2671	 -110.5664	bg
EPAS0062	 noise	-	-1233.2501	 -923.9231	 -737.9954	bg
EPAS0065	 noise	+	-1597.5556	-1078.2256	 -858.8167	bg
EPAS0064	 noise	-	-1220.1041	 -853.5602	 -724.0271	bg
EPAU0090	 noise	-	-1473.9273	 -998.4374	 -809.6421	bg
ESAV0077	 noise	-	-1026.7540	 -745.4311	 -615.4409	bg
EPAL0076	 noise	+	-1354.2459	 -887.4355	 -737.1160	bg
ESAJ0081	 noise	-	 -455.6478	 -325.6090	 -268.1358	bg
ECAM0093	 noise	-	-1356.6918	 -858.9161	 -667.1931	bg
EPAU0022	 noise	-	-1475.7396	 -946.9217	 -817.8093	bg
ECAM0092	 noise	+	-1352.3911	 -953.4307	 -793.0917	bg
EPAW0019	 noise	-	-1400.3832	 -995.6073	 -867.7097	bg
KDAE0089	 noise	+	-1326.1370	 -858.1911	 -733.4968	bg
ESAJ0057	 noise	+	-1322.5556	 -864.5689	 -662.3304	bg
EPAW0010	 noise	-	-1480.6178	 -977.5187	 -799.5801	bg
EPAW0011	 noise	+	-1408.6414	 -966.4094	 -795.0590	bg
EPAW0012	 noise	-	-1442.8053	 -988.3133	 -851.9775	bg
KDAE0083	 noise	-	-1303.1377	 -818.8500	 -671.5724	bg
KDAE0082	 noise	+	-1465.7725	 -967.8836	 -777.9692	bg
EPAW0016	 noise	+	-1306.8159	 -923.1357	 -762.5311	bg
EPAU0026	 noise	-	-1213.2413	 -797.9420	 -646.4905	bg
ECAR0049	 noise	-	-1306.6306	 -932.4870	 -728.3058	bg
ECAR0048	 noise	-	-1315.1473	 -828.6688	 -705.2736	bg
ESAJ0055	 noise	+	 -201.7328	 -134.3390	 -102.4471	bg
ESAJ0009	 noise	+	-1393.7531	 -864.5592	 -667.3776	bg
ESAJ0008	 noise	+	 -201.4522	 -166.6829	 -132.0980	bg
ESAJ0005	 noise	-	 -859.3955	 -590.6949	 -486.6402	bg
ESAJ0004	 noise	+	 -533.8008	 -341.4826	 -266.0621	bg
ESAJ0007	 noise	+	-1299.8086	 -858.9063	 -668.5911	bg
ECAR0042	 noise	-	-1460.6386	 -973.3329	 -787.2257	bg
ECAR0045	 noise	+	-1126.5246	 -797.5904	 -685.6370	bg
ECAR0044	 noise	-	-1598.3085	-1006.2392	 -825.7784	bg
ECAR0047	 noise	-	-1481.4721	-1056.7374	 -867.5440	bg
ECAR0046	 noise	-	-1519.1048	-1035.6230	 -817.9697	bg
K1AB0014	 noise	+	-1565.6951	-1042.8571	 -826.8682	bg
RCAY0044	 noise	-	 -728.1419	 -507.1962	 -439.5193	bg
K1AB0012	 noise	-	 -476.1991	 -350.5566	 -281.1923	bg
K1AB0011	 noise	-	  -27.0411	  -24.2782	  -20.7876	bg
ISBA45	 noise	-	-1298.8832	 -873.3490	 -761.1276	bg
ISBA47	 noise	-	-1305.6344	 -966.4703	 -774.5233	bg
ISBA46	 noise	-	-1422.1063	 -944.7006	 -814.8098	bg
ISBA41	 noise	-	-1343.6448	 -930.6437	 -776.6025	bg
K1AH0009	 noise	+	-1503.4996	-1025.5078	 -815.1015	bg
ECAN0072	 noise	-	-1320.3402	 -938.5194	 -802.2536	bg
ESAV0013	 noise	-	-1453.7954	 -979.2766	 -788.2223	bg
ESAQ0032	 noise	+	 -299.2650	 -179.0241	 -144.3889	bg
EPAU0028	 noise	-	-1295.6662	 -831.6609	 -696.3946	bg
EPAU0010	 noise	+	-1329.4099	 -939.9010	 -786.7251	bg
EPAO0021	 noise	+	-1462.2347	 -946.9512	 -790.7862	bg
EPAL0002	 noise	-	-1533.9135	 -980.7038	 -823.3911	bg
ECAN0020	 noise	+	-1404.5015	 -967.6258	 -782.9910	bg
ESAJ0027	 noise	-	-1182.4753	 -839.1695	 -688.0695	bg
KDAE0038	 noise	+	-1431.9593	 -935.0815	 -777.5321	bg
ESAV0049	 noise	-	-1330.9017	 -903.9505	 -736.1443	bg
ESAV0048	 noise	-	-1224.1183	 -925.1569	 -725.7013	bg
ESAH0009	 noise	+	-1018.4899	 -777.7823	 -610.9038	bg
ESAJ0026	 noise	-	  -81.3348	  -74.0826	  -59.1641	bg
ESAV0045	 noise	-	-1076.3111	 -728.4362	 -645.9952	bg
ESAV0044	 noise	-	-1628.1961	-1063.1355	 -857.4352	bg
ESAV0047	 noise	-	-1573.8232	-1040.8886	 -851.7436	bg
ESAV0046	 noise	-	-1517.2247	 -968.4502	 -816.5943	bg
ESAV0041	 noise	-	-1718.9883	-1057.2503	 -873.2356	bg
KDAE0037	 noise	-	-1542.3505	-1041.9351	 -850.1456	bg
ESAV0043	 noise	-	-1471.3188	 -929.8640	 -783.8450	bg
ESAV0042	 noise	-	-1734.8532	-1072.2795	 -886.0905	bg
ESAJ0078	 noise	-	 -128.3179	  -99.5797	  -95.8531	bg
ESAJ0079	 noise	-	 -541.7485	 -339.3944	 -280.9294	bg
K1AA0032	 noise	-	-1643.7341	-1088.6662	 -834.1112	bg
ESAJ0024	 noise	-	-1427.0651	 -980.5387	 -797.3352	bg
EPAO0027	 noise	+	-1567.6855	-1157.7085	 -915.0348	bg
ESAV0023	 noise	-	-1381.3965	 -946.2334	 -764.5477	bg
ESAJ0071	 noise	-	 -719.4289	 -484.8770	 -409.5481	bg
ESAJ0072	 noise	+	 -346.6332	 -237.8195	 -214.0267	bg
ESAJ0073	 noise	+	 -157.4662	 -101.8227	  -97.3035	bg
ESAJ0075	 noise	+	 -801.0010	 -545.3218	 -421.0983	bg
ESAJ0022	 noise	+	-1136.7301	 -749.7052	 -605.7066	bg
EPAH0039	 noise	-	 -110.9274	  -80.6883	  -79.4778	bg
ESAJ0021	 noise	+	-1279.1706	 -862.8495	 -694.0474	bg
EPAH0034	 noise	-	-1257.4807	 -910.0856	 -773.5154	bg
ESAI0057	 noise	-	 -193.0897	 -109.1856	 -104.0432	bg
ESAJ0020	 noise	+	-1419.5485	 -914.7803	 -757.4840	bg
EPAH0033	 noise	+	-1384.8256	 -865.2996	 -759.1997	bg
RPAX0009	 noise	-	-1504.4721	 -978.8649	 -808.9934	bg
EPAU0067	 noise	-	-1523.6897	-1000.1181	 -844.0364	bg
EPAU0066	 noise	-	-1333.0305	 -904.4761	 -744.1189	bg
EPAU0065	 noise	-	-1512.1305	 -985.4987	 -857.9431	bg
EPAU0064	 noise	+	-1254.6125	 -845.5992	 -690.4703	bg
EPAU0063	 noise	+	-1230.7583	 -790.0443	 -664.7467	bg
EPAU0062	 noise	-	-1312.7278	 -812.7774	 -706.6058	bg
RPAX0007	 noise	+	-1357.1896	 -899.6144	 -751.7187	bg
EPAU0060	 noise	+	-1537.6883	-1064.8911	 -844.2925	bg
EPAS0093	 noise	+	-1379.5784	 -889.3233	 -743.0818	bg
RPAX0010	 noise	-	-1498.9646	 -982.6479	 -809.6907	bg
K7AH0048	 noise	-	-1272.3241	 -812.8235	 -618.2909	bg
EPAL0092	 noise	+	-1427.0507	 -974.6086	 -840.1070	bg
ESAV0038	 noise	+	-1341.7299	 -864.8288	 -703.4524	bg
ECAT0021	 noise	-	-1742.2019	-1093.1514	 -915.4506	bg
ESAV0031	 noise	-	-1433.2907	 -929.1100	 -775.3590	bg
ECAT0023	 noise	+	-1400.0336	 -983.9190	 -869.8320	bg
ESAV0033	 noise	+	-1470.1122	 -963.6826	 -749.6773	bg
ESAV0034	 noise	-	-1408.2913	-1010.6104	 -866.1590	bg
ESAV0035	 noise	-	-1206.5406	 -831.6630	 -702.7951	bg
ISAZ67	 noise	+	-1466.4959	-1016.0794	 -819.0737	bg
ECAT0026	 noise	-	-1274.6386	 -888.6425	 -762.0759	bg
EPAS0050	 noise	+	-1060.7888	 -679.1320	 -574.4348	bg
EPAS0051	 noise	-	-1309.0438	 -892.4581	 -748.6894	bg
EPAS0057	 noise	-	-1601.0203	 -962.0176	 -799.1469	bg
EPAS0058	 noise	-	-1532.8065	 -977.9744	 -841.0104	bg
EPAS0059	 noise	-	-1452.6927	 -849.4769	 -756.1416	bg
K1AB0004	 noise	+	-1402.3088	-1008.1949	 -794.4639	bg
EPAH0048	 noise	-	 -286.7027	 -202.6513	 -181.7848	bg
K1AB0007	 noise	-	-1441.0476	 -944.0005	 -831.2696	bg
ESAJ0003	 noise	-	 -372.0750	 -262.3438	 -196.8227	bg
EPAH0041	 noise	-	-1424.4911	 -943.9098	 -821.3013	bg
EPAH0042	 noise	+	-1506.3313	 -965.8445	 -803.1240	bg
EPAH0045	 noise	-	 -592.3133	 -393.1840	 -328.5345	bg
